Domain,Function,Start_Timestamp,End_Timestamp,Correlation_ID
HIP_API_DOMAIN,"hipGetDevice",2833329347952484,2833329347952835,76
HIP_API_DOMAIN,"hipDeviceGetStreamPriorityRange",2833329347963261,2833329347963882,77
HIP_API_DOMAIN,"hipStreamSynchronize",2833329347971433,2833329347973075,78
HIP_API_DOMAIN,"hipGetDevice",2833336760522906,2833336760526031,79
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833336760532030,2833336760733301,80
HIP_API_DOMAIN,"hipGetDevice",2833336760734062,2833336760734173,81
HIP_API_DOMAIN,"hipGetDevice",2833336760738539,2833336760738629,82
HIP_API_DOMAIN,"hipSetDevice",2833336760741573,2833336760742265,83
HIP_API_DOMAIN,"hipGetDevice",2833336760819440,2833336760819881,84
HIP_API_DOMAIN,"hipGetDevice",2833336760821844,2833336760821934,85
HIP_API_DOMAIN,"hipGetDevice",2833336760824918,2833336760824998,86
HIP_API_DOMAIN,"hipSetDevice",2833336760830387,2833336760830557,87
HIP_API_DOMAIN,"hipSetDevice",2833336760830847,2833336760831178,88
HIP_API_DOMAIN,"hipGetDevice",2833336760875965,2833336760876105,89
HIP_API_DOMAIN,"hipSetDevice",2833336760878739,2833336760878839,90
HIP_API_DOMAIN,"hipGetDevice",2833336760896526,2833336760896676,91
HIP_API_DOMAIN,"hipIpcCloseMemHandle",2833336760897567,2833336761246961,92
HIP_API_DOMAIN,"hipGetDevice",2833336761247451,2833336761247542,93
HIP_API_DOMAIN,"hipStreamSynchronize",2833336761248673,2833336761249575,94
HIP_API_DOMAIN,"hipGetDevice",2833344178515132,2833344178517285,95
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833344178523024,2833344178728081,96
HIP_API_DOMAIN,"hipGetDevice",2833344178728652,2833344178728772,97
HIP_API_DOMAIN,"hipGetDevice",2833344178731707,2833344178731787,98
HIP_API_DOMAIN,"hipSetDevice",2833344178734541,2833344178735402,99
HIP_API_DOMAIN,"hipGetDevice",2833344178821862,2833344178822282,100
HIP_API_DOMAIN,"hipGetDevice",2833344178824376,2833344178824456,101
HIP_API_DOMAIN,"hipGetDevice",2833344178827170,2833344178827260,102
HIP_API_DOMAIN,"hipSetDevice",2833344178828952,2833344178829093,103
HIP_API_DOMAIN,"hipSetDevice",2833344178829323,2833344178829584,104
HIP_API_DOMAIN,"hipGetDevice",2833344178873549,2833344178873679,105
HIP_API_DOMAIN,"hipSetDevice",2833344178876554,2833344178876654,106
HIP_API_DOMAIN,"hipGetDevice",2833351594079601,2833351594081554,107
HIP_API_DOMAIN,"hipIpcOpenMemHandle",2833351594089165,2833351594253912,108
HIP_API_DOMAIN,"hipGetDevice",2833351594254453,2833351594254553,109
HIP_API_DOMAIN,"hipGetDevice",2833351594257978,2833351594258068,110
HIP_API_DOMAIN,"hipSetDevice",2833351594260242,2833351594260872,111
HIP_API_DOMAIN,"hipGetDevice",2833351594325019,2833351594325479,112
HIP_API_DOMAIN,"hipGetDevice",2833351594327563,2833351594327652,113
HIP_API_DOMAIN,"hipGetDevice",2833351594329786,2833351594329866,114
